City/Community,Latitude,Longitude,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20
Los Angeles - Sun Valley,34.214573,-118.370525,1,0,0,0,1,2,1,0,2,1,1,1,2,5,4,1,3,2,0,1,3,2,5,7,2,0,5,2,6,9,7,6,6,2,0,11,5,8,5,15,3,5,3,19,13,3,3,5,0,4,5,9,8,7,6,6,2,5,1,4,4,8,4,9,4,11,7,8,5,13,5,8,5,0,4,2,15,4,2,5,10,5,5,2,8,3,8,5,8,13,6,8,10,5,6,9,7,12,22,14,11,16,0,0,27,10,22,18,8,12,12,18,18,21,5,26,10,20,13,22,7,6,7,8,24,10,19,4,49,13,23,24,11,24,22,12,23,19,21,8,20,8,19,21,22,11,5,6,1,12,10,9,12,11,15,4,14,16,17,2,9,10,6,8,5,21,6,4,5,0,5,23,11,8,5,14,2,8,13,12,21,6,12,10,19,10,10,3,5,10,3,12,6,7,1,7,5,6,7,12,12,13,10,12,3,10,16,9,11,5,9,7,9,37,34,24,14,8,18,16,19,12,22,22,28,3,24,14,23,15,33,15,9
Los Angeles - Sunland,34.254694,-118.328636,-1,0,0,1,-1,0,0,0,5,3,1,1,0,3,1,4,3,3,6,-1,2,1,0,4,0,1,2,1,3,3,6,3,4,3,0,5,5,7,19,1,1,0,1,5,1,1,0,1,2,0,0,2,2,1,2,1,1,0,3,2,1,1,9,2,3,3,2,2,2,8,2,2,1,-1,1,2,2,1,-2,0,5,0,1,5,0,5,12,1,1,3,1,3,1,1,1,3,3,2,1,10,1,1,0,0,10,2,5,2,1,4,7,4,3,8,3,6,0,2,3,7,3,2,1,7,5,1,2,1,9,5,0,4,5,0,5,2,2,4,4,2,3,1,1,2,4,2,1,0,1,3,1,2,5,3,6,1,2,4,3,1,2,1,2,2,2,1,2,1,1,0,0,1,1,4,3,4,-1,1,0,0,3,0,0,0,8,3,6,3,1,1,6,3,-1,6,4,1,0,1,5,3,5,4,2,2,1,3,2,1,0,2,1,3,1,1,13,4,3,0,5,3,5,2,4,4,3,3,3,5,3,2,3,4,6
Los Angeles - Sycamore Square,34.05804,-118.34373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
Los Angeles - Sylmar,34.312919,-118.447215,0,0,0,1,2,4,7,3,7,5,5,7,10,9,9,11,5,3,2,6,8,2,7,7,7,10,7,2,24,24,25,20,11,7,8,31,2,23,3,12,10,18,16,52,13,9,11,9,5,18,18,25,19,13,12,4,13,17,13,15,15,14,35,16,3,19,23,25,12,13,13,29,14,5,0,6,10,13,5,15,37,16,19,13,23,7,17,11,15,16,9,18,13,14,23,24,24,29,35,15,11,24,0,0,76,7,41,18,26,11,24,45,38,41,28,57,21,38,33,29,24,31,32,16,53,22,19,20,97,18,45,40,21,20,29,32,56,43,27,26,25,24,41,25,32,20,17,11,16,22,13,21,18,11,10,5,18,13,10,16,13,20,11,17,12,14,11,14,5,9,13,17,9,12,5,12,4,25,15,10,10,14,6,-7,28,6,19,11,6,14,16,30,9,10,16,15,10,25,41,21,23,30,10,22,7,21,23,22,12,10,23,5,2,64,53,21,4,6,22,26,22,14,25,35,31,10,41,38,42,29,45,24,21
Los Angeles - Tarzana,34.157081,-118.549144,0,1,0,5,3,2,4,1,2,3,0,1,3,4,0,1,0,4,2,0,0,0,1,2,3,2,-1,0,5,5,4,1,3,0,0,2,0,3,2,1,0,0,1,3,2,2,2,2,1,2,2,2,3,3,2,1,3,5,1,5,14,7,2,3,5,7,3,2,5,4,4,4,2,6,48,26,2,2,5,3,5,5,0,2,0,6,3,5,5,5,1,2,5,2,4,4,2,10,4,6,1,3,0,0,11,2,9,5,8,2,8,2,6,10,9,4,6,7,5,4,2,5,1,4,6,1,3,1,9,5,3,4,3,0,5,2,3,3,1,0,2,2,5,3,0,4,2,0,-1,3,2,2,1,1,0,3,1,8,6,2,1,2,2,5,1,4,2,2,1,2,2,4,2,6,4,2,2,6,2,12,8,3,1,3,7,7,9,7,4,0,2,6,4,1,5,2,0,6,15,14,5,5,6,0,2,5,-4,9,3,-1,2,0,16,22,10,7,2,3,4,5,5,7,4,4,6,6,9,8,6,6,3,10,6
Los Angeles - Temple-Beaudry,34.063548,-118.264778,0,0,2,3,-1,0,0,3,2,1,1,3,3,6,3,6,4,0,11,5,0,1,3,0,2,3,3,2,22,14,9,9,6,2,-1,9,5,9,3,9,3,0,2,9,10,6,3,3,1,2,10,7,6,3,4,2,3,10,8,9,7,4,7,9,12,5,4,9,16,4,2,2,1,9,0,3,15,1,6,2,20,2,8,5,4,3,25,0,6,8,4,24,7,3,7,8,11,14,13,12,9,12,0,0,22,4,19,8,5,6,12,15,9,24,11,14,7,6,19,18,14,16,5,14,9,4,8,10,29,12,17,9,4,3,6,8,15,8,4,12,6,4,7,8,9,15,17,7,0,8,1,5,3,0,10,9,6,9,9,5,9,6,5,5,6,11,6,7,0,0,1,4,2,3,4,2,0,4,2,1,4,1,2,3,2,2,9,11,1,0,0,4,4,3,3,5,1,0,3,2,0,1,6,1,0,1,11,6,4,0,4,1,0,5,7,9,1,3,7,2,5,2,1,8,5,5,1,2,4,14,6,8,4
Los Angeles - Thai Town,34.102022,-118.304348,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,2,-1,1,0,-1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,0,0,0,1,2,2,0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,3,0,0,0,1,1,0,0,0,3,5,0,1,0,0,1,2,0,1,0,1,0,4,3,3,2,0,0,1,0,9,0,0,1,1,1,0,1,2,4,2,2,2,3,-2,2,2,2,0,1,3,0,2,1,0,5,0,1,1,2,7,2,1,3,1,0,1,3,3,1,1,0,0,6,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,2,0,2,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,6,1,1,0,3,4,2,6,1,0,0,1,2,1,0,0,0,1,1,8,2,2,1,3,4,4,4,4,1,-1,1,2,2,5,0,6,2,3,1
Los Angeles - Toluca Lake,34.150204,-118.357406,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,3,1,1,2,0,0,0,3,0,2,0,2,1,2,1,1,1,4,0,4,2,4,4,2,-1,2,2,1,1,0,3,1,0,1,3,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,2,0,0,0,1,0,1,1,0,0,1,1,0,2,2,0,0,1,0,1,0,0,0,2,1,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,-1,0,2,0,0,0,0,0,2,3,1,0,0,2,0,0,1,1,0,0,0,1,1,2,2,1,1,1
Los Angeles - Toluca Terrace,34.166749,-118.358506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Los Angeles - Toluca Woods,34.159363,-118.35782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Los Angeles - Tujunga,34.251243,-118.288445,0,0,0,1,0,0,1,1,1,0,0,2,1,2,2,0,1,2,0,0,0,0,6,0,0,2,1,0,6,5,7,6,2,1,2,6,4,3,0,6,0,1,0,8,1,4,2,1,0,1,3,1,2,0,0,2,2,0,4,1,2,1,4,0,1,3,5,1,2,0,0,4,2,1,0,2,2,0,0,0,2,0,1,3,0,2,3,4,3,2,3,3,4,2,4,2,1,7,2,2,2,1,0,0,5,4,4,2,1,2,3,4,1,1,2,5,2,4,3,3,8,2,2,2,4,0,5,4,10,1,3,0,3,2,1,4,9,9,9,5,4,1,8,5,6,4,0,2,3,8,4,7,10,0,3,10,4,7,3,9,4,4,3,13,3,7,3,1,4,2,1,3,3,0,0,2,3,3,10,4,3,7,2,1,4,8,2,3,1,0,0,2,2,4,6,2,0,4,6,3,5,5,1,5,2,3,9,3,5,0,2,4,0,13,10,5,0,1,5,11,7,5,6,3,3,6,2,4,6,3,22,7,7
Los Angeles - University Hills,34.06828,-118.168416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,1,4,1,0,0,0,1,1,1,0,0,1,3,3,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,1,0,1,0
Los Angeles - University Park,34.027987,-118.27881,0,0,3,2,-2,1,0,1,6,2,1,1,-1,1,1,3,2,2,0,1,1,0,1,1,0,-1,7,1,3,4,3,13,5,1,1,3,5,7,0,4,4,0,0,7,3,3,2,-1,3,3,4,4,4,6,2,2,3,2,2,5,1,3,5,7,6,8,8,12,6,8,6,4,0,3,11,1,13,3,2,7,3,3,9,1,1,3,13,2,4,5,6,7,3,4,1,11,9,5,4,3,9,3,0,0,15,7,20,7,4,0,7,7,5,17,3,9,12,5,7,5,9,14,1,2,8,-4,6,9,12,8,7,4,4,6,6,12,8,3,11,0,1,1,3,7,7,3,6,3,1,8,6,14,6,11,7,5,42,46,34,27,21,6,13,9,14,17,17,8,2,4,5,12,22,15,6,7,8,6,5,16,3,9,4,14,19,10,25,8,0,0,8,3,1,2,-12,0,0,3,4,1,3,8,2,0,0,3,5,1,5,0,4,2,8,3,6,9,2,2,5,2,4,-2,2,2,2,0,5,11,13,16,3,1,4
Los Angeles - Valley Glen,34.182068,-118.426211,1,2,2,1,-10,1,1,0,3,1,3,1,5,4,4,3,1,1,1,1,0,0,2,2,2,1,3,2,4,9,4,6,5,2,0,3,2,8,1,2,1,0,0,0,1,1,4,1,1,1,1,2,2,1,1,1,1,1,0,0,1,4,5,1,2,1,3,0,3,3,3,2,4,3,3,2,5,1,3,1,-1,5,4,2,0,5,3,1,3,4,4,4,5,0,4,5,3,4,2,4,4,4,0,0,10,2,7,7,3,5,7,6,5,5,8,6,5,7,3,4,5,2,3,6,8,4,14,4,14,5,4,12,0,5,9,11,6,7,7,5,6,4,13,3,7,11,4,1,0,6,6,8,5,2,5,2,8,2,2,1,0,5,1,2,2,5,0,2,1,2,1,12,5,4,4,4,3,6,2,1,9,0,2,4,8,6,10,8,1,2,6,3,6,7,2,0,3,3,3,6,8,11,2,5,0,15,2,3,3,1,1,4,6,16,13,4,7,0,10,4,7,6,5,4,9,3,4,10,11,6,2,4,6
Los Angeles - Valley Village,34.163337,-118.39502,0,0,0,0,13,1,4,1,2,2,0,4,2,1,0,1,1,1,0,1,1,1,2,2,3,1,1,1,6,8,6,1,2,6,9,0,2,15,11,2,11,1,2,4,6,4,10,4,0,14,1,2,1,1,3,1,0,3,4,3,-1,2,4,1,2,6,4,0,5,5,0,2,1,1,1,3,0,1,5,4,10,2,3,3,-2,0,0,1,7,7,4,7,3,2,4,2,1,2,7,4,1,1,0,0,4,2,3,6,1,3,3,2,2,4,5,5,7,2,3,3,1,6,3,6,4,3,1,2,10,0,0,0,2,3,2,2,3,7,2,5,2,0,4,4,3,4,0,1,0,1,1,2,2,0,3,2,3,2,5,1,3,1,0,2,0,2,2,0,0,0,2,3,4,2,7,1,-2,5,2,1,3,3,2,5,3,0,6,3,1,1,4,1,6,2,3,1,2,2,12,5,4,3,2,2,4,-20,6,3,-1,0,0,-1,3,5,5,7,1,2,0,3,0,2,2,1,5,1,5,3,3,2,3,0,1
Los Angeles - Van Nuys,34.201395,-118.462997,2,0,0,0,0,2,1,3,3,4,5,4,7,3,2,15,8,7,5,4,3,6,6,4,8,9,4,7,18,30,19,15,16,9,6,15,5,20,7,23,13,12,13,46,10,10,18,6,7,10,20,17,16,10,14,14,9,18,11,12,14,15,7,12,10,13,10,16,27,24,16,14,15,27,8,9,13,21,16,10,14,15,14,14,9,10,28,17,14,21,11,22,29,6,25,20,7,20,20,10,14,13,0,0,51,12,34,18,17,10,31,27,23,33,11,23,19,22,16,32,10,30,22,9,52,13,24,19,77,28,21,26,18,29,31,24,44,35,19,21,23,12,41,12,78,18,13,14,11,30,17,19,19,12,13,12,10,17,33,11,16,26,10,30,13,23,14,5,8,5,7,18,14,15,12,9,3,20,9,13,19,11,13,4,20,20,26,17,18,7,13,20,14,15,21,18,3,10,35,19,21,14,21,14,6,33,27,28,18,10,22,17,12,52,54,27,11,14,28,20,24,-12,25,13,27,13,22,22,33,25,35,22,15
Los Angeles - Venice,33.994031,-118.462553,0,1,1,2,0,2,4,1,0,0,2,0,0,5,1,2,1,2,3,1,0,0,-1,-2,0,1,2,2,3,0,1,1,0,0,1,1,0,3,1,0,1,1,0,1,0,0,1,3,0,0,1,1,0,1,0,2,0,1,0,1,0,2,0,0,1,0,0,1,0,2,0,1,0,-2,1,2,0,2,1,0,1,0,0,1,-2,1,3,0,0,1,4,1,3,0,0,0,3,3,0,2,0,1,0,0,12,0,4,6,0,8,2,1,2,5,4,3,7,4,5,1,5,8,1,3,7,5,0,4,6,1,4,1,6,0,0,1,5,2,0,7,2,5,2,0,8,3,2,2,0,5,0,2,3,1,1,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,4,2,1,0,1,0,6,2,3,1,0,1,0,0,1,0,2,0,0,2,4,0,2,1,0,0,0,2,2,0,1,1,1,0,3,4,1,0,0,0,1,0,5,5,5,1,3,-1,6,5,6,1,3,2,3,8,8,6,6,10,3,0
Los Angeles - Vermont Knolls,33.968094,-118.294918,0,0,0,2,-3,0,0,0,0,5,2,0,3,2,1,1,1,0,1,-1,0,0,3,2,0,3,0,0,3,2,8,4,4,3,0,3,1,3,3,3,-1,1,1,7,2,3,0,2,2,0,1,12,2,1,8,3,4,4,3,0,4,1,2,3,1,7,7,5,14,7,4,4,6,2,4,3,6,2,2,9,9,3,3,4,5,3,12,9,11,9,6,9,9,3,4,6,6,7,9,9,8,3,0,0,11,3,16,7,6,9,9,5,6,12,1,10,7,3,5,11,9,5,4,5,7,4,3,4,10,1,5,9,6,3,10,7,7,7,13,6,6,2,5,7,4,6,0,5,2,1,6,4,3,2,1,1,3,6,2,2,1,5,0,1,2,5,3,2,3,1,0,6,1,1,1,0,3,1,1,2,4,1,0,0,0,3,-1,3,0,0,1,0,1,2,3,0,2,1,4,1,2,3,0,2,0,2,2,2,1,0,0,0,0,1,4,0,0,1,3,1,2,3,2,5,2,3,2,1,3,5,2,2,1
Los Angeles - Vermont Square,33.999441,-118.298048,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,5,0,1,1,1,1,0,1,1,0,3,0,0,4,0,4,3,2,0,2,0,1,1,2,4,6,1,0,8,1,1,0,0,1,0,1,2,1,-1,1,3,0,1,2,2,2,3,0,0,4,0,1,0,1,0,1,0,1,2,1,3,0,0,3,3,3,2,0,3,3,8,5,3,5,1,2,1,6,1,1,3,0,3,7,6,2,1,0,0,7,1,6,2,4,1,3,1,0,3,4,7,4,2,2,3,4,1,2,6,3,1,1,4,9,3,2,2,2,3,3,3,7,2,3,0,1,1,1,4,9,0,0,1,1,0,0,2,7,1,1,0,1,2,1,1,1,0,0,3,0,2,1,0,2,0,3,0,3,0,2,2,0,1,3,0,1,0,0,0,3,0,1,2,1,0,1,0,2,2,3,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,1,1,1,1,2,1,2,2,1,0,3,1,1,1,3,1,2,0,0,6,3,0,1
Los Angeles - Vermont Vista,33.954252,-118.281528,0,2,0,2,-3,1,2,0,1,1,0,1,3,3,0,2,2,2,1,2,1,3,0,4,2,1,0,1,10,18,7,8,6,3,4,8,3,7,5,5,3,5,3,20,5,9,2,6,1,4,5,8,4,9,17,9,4,5,11,8,3,10,6,2,9,11,12,11,20,10,10,13,9,11,7,13,22,7,14,14,12,15,21,6,13,10,21,7,14,21,20,21,21,7,18,18,18,9,28,20,16,9,0,0,46,13,38,14,6,11,17,16,20,29,17,26,17,30,11,29,19,28,8,12,32,10,20,10,49,10,15,30,4,13,9,25,27,13,29,23,11,18,19,14,18,17,9,6,1,3,9,3,12,6,9,9,11,11,13,5,7,13,0,12,8,8,4,7,4,2,7,10,6,9,8,7,3,10,6,4,9,6,2,1,4,4,1,5,3,1,3,5,1,6,2,2,1,6,14,13,1,4,8,4,3,5,15,7,8,1,1,1,2,15,10,10,2,4,5,7,9,5,7,9,5,3,16,9,4,7,9,4,4
Los Angeles - Vernon Central,34.000393,-118.251655,0,0,0,0,2,0,0,1,1,0,2,1,7,6,1,2,6,1,4,4,1,1,3,1,3,2,5,4,13,15,25,11,12,5,3,16,5,21,3,16,4,7,4,31,20,10,8,18,2,10,9,8,13,9,10,16,4,23,13,17,32,18,13,15,35,10,21,19,29,11,13,18,13,12,19,22,23,16,22,24,30,29,14,8,19,28,35,11,19,37,24,51,24,17,10,34,17,31,35,30,19,30,0,0,61,17,58,22,11,32,33,42,15,39,18,49,30,20,30,33,33,29,21,22,40,11,20,15,61,25,37,39,17,34,17,19,37,34,30,20,15,11,20,19,23,32,17,16,6,15,8,20,18,19,10,6,18,21,15,10,10,8,8,10,7,10,6,5,4,4,5,11,7,10,5,10,7,12,5,10,6,7,9,1,10,10,10,7,6,9,15,7,7,8,14,14,6,16,25,7,16,15,11,6,-1,14,8,12,10,1,4,3,1,14,22,22,10,4,14,10,10,-6,18,17,8,7,3,21,16,17,11,7,12
Los Angeles - Victoria Park,34.044033,-118.324726,0,0,0,0,0,0,0,0,0,0,6,1,2,2,2,0,1,1,2,0,0,0,1,0,0,0,2,0,4,2,2,1,1,0,1,1,1,1,1,3,0,0,0,1,0,0,1,2,1,0,0,1,0,1,1,0,0,1,2,1,1,0,2,1,2,0,1,1,2,0,0,0,0,2,2,0,0,0,0,1,1,2,0,0,1,1,4,0,0,1,3,2,0,0,1,0,2,1,4,1,0,0,0,0,6,2,3,1,1,3,3,0,2,-1,0,4,0,2,4,5,1,0,0,1,4,0,2,3,6,2,3,2,1,2,4,3,2,9,7,1,2,0,0,1,1,4,0,2,1,2,3,2,2,0,0,1,3,1,0,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,0,1,3,3,1,0,1,0,0,2,0,-1,-1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,2,0,0,-1,2,0,0,2,1,0,3,2,0,0,3,-1
Los Angeles - View Heights,33.985086,-118.348321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,-1,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2,1,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,2,1,-1,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-1,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,2,2,1,0,0,0
Los Angeles - Watts,33.940599,-118.241781,0,0,1,0,0,0,1,0,5,0,4,1,2,1,1,3,1,3,1,3,0,2,0,1,0,6,3,1,10,6,6,4,2,8,1,6,2,7,0,6,7,5,5,6,11,2,1,5,3,0,9,0,4,7,4,3,6,7,10,9,13,7,4,15,17,10,13,16,14,8,7,10,9,7,8,16,14,5,9,9,17,14,19,5,4,17,16,3,8,17,20,25,18,11,21,15,13,19,22,21,6,20,0,0,45,10,28,17,11,17,28,17,14,36,13,41,26,20,24,20,24,14,9,6,28,15,17,32,36,27,22,22,9,6,24,12,12,24,16,11,27,11,21,13,27,16,12,10,4,30,7,21,22,14,15,3,11,12,13,9,5,10,3,13,4,10,12,6,6,1,4,5,3,10,1,10,3,4,2,11,7,5,4,-4,5,6,7,5,2,2,2,18,5,15,-1,3,1,4,10,8,11,5,9,7,1,2,12,8,6,1,1,7,6,20,8,10,8,4,6,8,3,3,5,5,5,5,9,15,8,13,6,7,7
Los Angeles - Wellington Square,34.035885,-118.333668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,2,1,0,2,2,0,1,1,-1,0,0,1,4,0,0,0,0,0,0,4,0,2,3,0,2,0,0,2,0,2,0,0,1,0,1,3,4,1,2,0,2,1,1,2,2,1,3,2,0,3,2,2,0,1,1,0,1,-2,3,3,1,0,0,1,2,1,1,2,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,2,1,1,0,0,0,0,0,0,3,1,0,0,0,0,-1,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,2,0,0,1,0,0,1,2,3,0,0,3,0,0,1,1,2,0,0,0,3,2,1,0,0,0
